customer_id,first_name,last_name,email,phone,registration_date,age,city,state,segment,is_active
CUST_000001,Jane,Smith,customer1@email.com,+18479902459,2025-05-07,32,Chicago,TX,Bronze,True
CUST_000002,John,Smith,customer2@email.com,+11402418010,2025-05-13,50,New York,FL,Platinum,True
CUST_000003,David,Smith,customer3@email.com,+17110082321,2025-04-20,27,Houston,PA,Bronze,True
CUST_000004,Jane,Garcia,customer4@email.com,+18934927891,2024-11-04,34,New York,GA,Bronze,False
CUST_000005,Chris,Johnson,customer5@email.com,+17665963761,2024-10-23,57,Philadelphia,FL,Bronze,True
CUST_000006,Sarah,Jones,customer6@email.com,+15231494220,2025-05-13,73,Los Angeles,OH,Gold,True
CUST_000007,Emma,Williams,customer7@email.com,+16884882440,2025-05-25,60,Phoenix,TX,Silver,True
CUST_000008,Sarah,Williams,customer8@email.com,+17280359794,2025-04-24,77,Houston,PA,Bronze,True
CUST_000009,John,Garcia,customer9@email.com,+17017956955,2025-08-07,31,Philadelphia,FL,Platinum,True
CUST_000010,Lisa,Williams,customer10@email.com,+12137651678,2025-05-06,65,Phoenix,OH,Platinum,True
CUST_000011,Mike,Davis,customer11@email.com,+11470939445,2024-10-23,28,San Antonio,TX,Platinum,True
CUST_000012,Lisa,Jones,customer12@email.com,+19639245200,2025-07-13,61,Phoenix,PA,Bronze,True
CUST_000013,Mike,Davis,customer13@email.com,+18385972235,2024-12-27,66,Chicago,TX,Gold,False
CUST_000014,Sarah,Williams,customer14@email.com,+14944899549,2024-11-07,38,San Diego,CA,Bronze,False
CUST_000015,David,Brown,customer15@email.com,+11248786714,2024-11-23,78,Los Angeles,TX,Platinum,False
CUST_000016,Mike,Williams,customer16@email.com,+18128575500,2024-12-02,28,Phoenix,OH,Silver,False
CUST_000017,Sarah,Jones,customer17@email.com,+16898796145,2024-12-19,46,Los Angeles,FL,Silver,True
CUST_000018,John,Brown,customer18@email.com,+13527331058,2025-09-06,22,New York,FL,Bronze,False
CUST_000019,Emma,Johnson,customer19@email.com,+13208283728,2025-04-20,60,San Diego,FL,Silver,True
CUST_000020,Lisa,Brown,customer20@email.com,+18664882079,2025-02-13,30,Los Angeles,TX,Platinum,True
CUST_000021,Chris,Davis,customer21@email.com,+19822598054,2024-10-10,80,Los Angeles,CA,Platinum,True
CUST_000022,Jane,Brown,customer22@email.com,+11822873088,2024-12-09,46,Chicago,OH,Silver,True
CUST_000023,Sarah,Johnson,customer23@email.com,+13363629219,2025-08-15,59,New York,TX,Silver,True
CUST_000024,Lisa,Davis,customer24@email.com,+11251837136,2025-02-27,18,San Antonio,IL,Platinum,True
